name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1
"BERGER'S TAVERN, INCORPORATED",21206,Waltherson,2,NORTHEASTERN,"5523 BELAIR RD
Baltimore, MD
"
BERMUDA BAR,21213,Broadway East,12,EASTERN,"1801 NORTH AVE
Baltimore, MD
"
BERTHA'S RESTAURANT,21231,Fells Point,1,SOUTHEASTERN,"734 BROADWAY
Baltimore, MD
"
BERT'S EATS & DRINKS (3103-05),21218,Charles Village,14,NORTHERN,"3105 ST PAUL ST
Baltimore, MD
"
BEST WESTERN TRAVEL PLAZA,21224,Pulaski Industrial Area,1,SOUTHEASTERN,"5625 O DONNELL ST
Baltimore, MD
"
BIG APPLE TREE CAF,21202,Downtown,11,CENTRAL,"300 BALTIMORE ST
Baltimore, MD
"
BIG BAD WOLF'S HOUSE OF BARBEQUE,21214,Harford-Echodale/Perring Parkway,3,NORTHEASTERN,"5713 HARFORD RD
Baltimore, MD
"
BIG KAHUNA CANTINA,21202,Inner Harbor,11,CENTRAL,"301 LIGHT ST
Baltimore, MD
"
BIG TEE'S BAR & GRILL,21224,Greektown,2,SOUTHEASTERN,"300 OLDHAM ST
Baltimore, MD
"
BILL'S 60'S & 70'S CLUB,21223,Hollins Market,9,SOUTHERN,"1000 LOMBARD ST
Baltimore, MD
"
BILL'S CAFE,21222,Graceland Park,1,SOUTHEASTERN,"6701 HOLABIRD AVE
Baltimore, MD
"
BILL'S LIGHTHOUSE INN,21230,Riverside,10,SOUTHERN,"1741 LIGHT ST
Baltimore, MD
"
BILTMORE SUITES HOTEL,21201,Mount Vernon,11,CENTRAL,"205 MADISON ST
Baltimore, MD
"
BIRCHES RESTAURANT,21224,Canton,1,SOUTHEASTERN,"641 MONTFORD AVE
Baltimore, MD
"
BIRDS OF A FEATHER,21231,Fells Point,1,SOUTHEASTERN,"1712 ALICEANNA ST
Baltimore, MD
"
"BLACKTIE SERVICE, LLP",21215,Seton Business Park,5,NORTHWESTERN,"4700 MT HOPE DR
Baltimore, MD
"
BLACKTIE SERVICES,21211,Woodberry,7,NORTHERN,"3725 MALDEN AVE
Baltimore, MD
"
BLARNEY STONE INN,21225,Brooklyn,10,SOUTHERN,"3915 HANOVER ST
Baltimore, MD
"
BLARNEY STONE PUB,21231,Fells Point,1,SOUTHEASTERN,"704 BROADWAY
Baltimore, MD
"
BLEACHERS,21224,Canton,1,SOUTHEASTERN,"2501 FLEET ST
Baltimore, MD
"
ALLEN RESTAURANT,21206,Waltherson,2,NORTHEASTERN,"5621 BELAIR RD
Baltimore, MD
"
ALOHA TOKYO,21230,Locust Point Industrial Area,10,SOUTHERN,"1120 FORT AVE
Baltimore, MD
"
ALONSO'S RESTAURANT & COCKTAIL LOUNGE,21210,Evergreen,6,NORTHERN,"415 COLD SPRING LN
Baltimore, MD
"
AMBASSADOR DINNING ROOM,21218,Tuscany-Canterbury,14,NORTHERN,"3811 CANTERBURY RD
Baltimore, MD
"
AMBROSIA'S,21230,Cherry Hill,10,SOUTHERN,"1810 CHERRY HILL RD
Baltimore, MD
"
AMERICAN FOOD SERVICE,21223,Hollins Market,9,SOUTHERN,"901 PRATT ST
Baltimore, MD
"
AMERICAN LEGION FEDERAL POST #19,21217,Madison Park,11,CENTRAL,"1502 MADISON AVE
Baltimore, MD
"
AMERICAN LEGION POST #187,21226,Curtis Bay,10,SOUTHERN,"1527 CHERRY ST
Baltimore, MD
"
AMERICAN LEIGON FORT MCHENRY POST #133,21230,Riverside,10,SOUTHERN,"506 FORT AVE
Baltimore, MD
"
AMIGO'S BAR,21224,Highlandtown,2,SOUTHEASTERN,"400 EATON ST
Baltimore, MD
"
ANGELINA'S,21234,North Harford Road,3,NORTHEASTERN,"7135 HARFORD RD
Baltimore, MD
"
ANGELO'S RESTAURANT & CARRYOUT,21211,Wyman Park,7,NORTHERN,"3600 KESWICK RD
Baltimore, MD
"
ANGELS ROCK BAR,21202,Downtown,11,CENTRAL,"10 MARKET PLACE
Baltimore, MD
"
ANGLE INN,21224,Pulaski Industrial Area,1,SOUTHEASTERN,"5805 O Donnell ST
Baltimore, MD
"
ANNABEL LEE TAVERN,21224,Canton,1,SOUTHEASTERN,"601 CLINTON ST
Baltimore, MD
"
ANNS AT LEXINGTON PLACE,21201,Seton Hill,11,CENTRAL,"631 LEXINGTON ST
Baltimore, MD
"
APPLEBEE'S NEIGHBORHOOD GRILL & BAR,21215,Fallstaff,5,NORTHWESTERN,"6798 REISTERSTOWN RD
Baltimore, MD
"
aramark at citi bank baltimore,21202,Downtown,11,CENTRAL,"300 st paul pl
Baltimore, MD
"
ARAMARK FHC SPORTS  (MAIN KITCHEN),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD
"
ARAMARK FHC SPORTS (BAR 200-201),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD
"
ARAMARK FHC SPORTS (BAR 210),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD
"
ARAMARK FHC SPORTS (BAR 217),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD
"
ARAMARK FHC SPORTS (BAR 221),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD
"
ARAMARK FHC SPORTS (BAR 232),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD
"
ARAMARK FHC SPORTS (BAR 236),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD
"
ARAMARK FHC SPORTS (BAR 244),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD
"
ARAMARK FHC SPORTS (BAR 252-253),21230,Stadium Area,10,SOUTHERN,"1101 RUSSELL ST
Baltimore, MD
"
ARAMARK/PNC,21201,Downtown,11,CENTRAL,"Hopkins Pl
Baltimore, MD
"
ARA-MONUMENTAL LIFE INSURANCE COMPANY,21202,Mid-Town Belvedere,12,CENTRAL,"2 CHASE ST
Baltimore, MD
"
ARCH SOCIAL CLUB,21217,Penn North,7,CENTRAL,"2426 PENNSYLVANIA
Baltimore, MD
"
ARCOS,21231,Washington Hill,1,SOUTHEASTERN,"129 BROADWAY
Baltimore, MD
"
ARIZONA BAR & GRILL,21231,Washington Hill,1,SOUTHEASTERN,"25 BROADWAY
Baltimore, MD
"
ASAHI SUSHI,21231,Fells Point,1,SOUTHEASTERN,"629 BROADWAY
Baltimore, MD
"
asian taste,21211,Hampden,14,NORTHERN,"916 36th st
Baltimore, MD
"
ATWATER'S,21212,Chinquapin Park-Belvedere,4,NORTHERN,"529 BELVEDERE AVE
Baltimore, MD
"
AU BON PAIN,21202,Downtown,11,CENTRAL,"1 SOUTH ST
Baltimore, MD
"
AUSTIN GRILL,21224,Canton,1,SOUTHEASTERN,"2400 BOSTON ST
Baltimore, MD
"
AUSTIN GRILL,21224,Canton,1,SOUTHEASTERN,"2400 BOSTON ST
Baltimore, MD
"
AVENUE BAR & LIQUOR,21202,Johnston Square,12,EASTERN,"1238 GREENMOUNT AVE
Baltimore, MD
"
azteca de oro,21224,Greektown,2,SOUTHEASTERN,"4901 eastern ave
Baltimore, MD
"
B,21217,Bolton Hill,11,CENTRAL,"1501 bolton ST
Baltimore, MD
"
B & J RESTAURANT,21223,Carrollton Ridge,9,SOUTHWESTERN,"2251 WILKENS AVE
Baltimore, MD
"
B & O CAFE,21223,New Southwest/Mount Clare,9,SOUTHERN,"1301 PRATT ST
Baltimore, MD
"
B G'S,21223,Carrollton Ridge,9,SOUTHERN,"301 PAYSON ST
Baltimore, MD
"
"B.G.'S,PUB INCORPORATED",21224,Greektown,2,SOUTHEASTERN,"619 OLDHAM ST
Baltimore, MD
"
babalu grill,21202,Downtown,11,CENTRAL,"34 MARKET PL
Baltimore, MD
"
BACKSTRETCH SALOON,21209,Medfield,7,NORTHERN,"1301 OLD COLDSPRING Ln
Baltimore, MD
"
BAJA BEACH CLUB  (COMBINED WITH BAR-L),21202,Downtown,11,CENTRAL,"55 MARKET PL
Baltimore, MD
"
BALTIMORE BEVERAGE CO. LLC,21201,Downtown,11,CENTRAL,"20 BALTIMORE ST
Baltimore, MD
"
BALTIMORE BEVERAGE CO. -STARBUCKS,21201,Downtown,11,CENTRAL,"20 BALTIMORE ST
Baltimore, MD
"
BALTIMORE COUNTRY CLUB,21210,Roland Park,6,NORTHERN,"4712 CLUB RD
Baltimore, MD
"
BALTIMORE DELIGHT RESTAURANT,21224,Greektown,2,SOUTHEASTERN,"4713 EASTERN AVENUE
Baltimore, MD
"
"BALTIMORE EAGLE, INC.",21218,Charles North,12,NORTHERN,"2022 CHARLES ST
Baltimore, MD
"
BALTIMORE ESTONIAN SOCIETY,21213,South Clifton Park,12,EASTERN,"1932 BELAIR RD
Baltimore, MD
"
BALTIMORE MARRIOTT WATERFRONT/EMPLOYEE CAFETERIA,21202,Inner Harbor,1,SOUTHEASTERN,"700 ALICEANNA ST
Baltimore, MD
"
BALTIMORE MARRIOTT WATERFRONT/GRILLE 700 RESTAURAN,21202,Inner Harbor,1,SOUTHEASTERN,"700 ALICEANNA ST
Baltimore, MD
"
BALTIMORE MARRIOTT WATERFRONT/KOZMOS BAR,21202,Inner Harbor,1,SOUTHEASTERN,"700 ALICEANNA ST
Baltimore, MD
"
BALTIMORE MARRIOTT WATERFRONT/RIGANOS DELI,21202,Inner Harbor,1,SOUTHEASTERN,"700 ALICEANNA ST
Baltimore, MD
"
BALTIMORE MARRIOTT-INNER HARBOR/EMP. CAFETERIA,21202,Inner Harbor,11,SOUTHERN,"110 EUTAW ST
Baltimore, MD
"
BALTIMORE MARRIOTT-INNER HARBOR/REST/BAR,21201,Inner Harbor,11,SOUTHERN,"110 EUTAW ST
Baltimore, MD
"
BALTIMORE PHO,21223,Hollins Market,9,SOUTHERN,"1114 16 HOLLINS ST
Baltimore, MD
"
BALTMORE KICKERS,21231,Washington Hill,1,SOUTHEASTERN,"26 BROADWAY
Baltimore, MD
"
BANJARA,21230,Federal Hill,10,SOUTHERN,"1015 CHARLES ST
Baltimore, MD
"
BANTHAI,21201,Downtown,11,CENTRAL,"340 CHARLES ST
Baltimore, MD
"
BARISTA ESPRESSO CAF,21230,Inner Harbor,10,SOUTHERN,"500 HARBORVIEW DR
Baltimore, MD
"
BARNES & NOBLE BOOKSELLERS,21202,Inner Harbor,11,CENTRAL,"601 PRATT ST
Baltimore, MD
"
BARTENDERS,21231,Canton,1,SOUTHEASTERN,"2218 BOSTON ST
Baltimore, MD
"
BLU BAMBU-FRESH AISIAN EATS,21202,Inner Harbor,11,CENTRAL,"621 PRATT ST
Baltimore, MD
"
BLUE AGAVE RESTAURANT AND TEQUILERIA,21230,Federal Hill,10,SOUTHERN,"1032 LIGHT ST
Baltimore, MD
"
BLUE CRAB EXPRESS & CAF INC.,21230,Cherry Hill,10,SOUTHERN,"1020 PATAPSCO AVE
Baltimore, MD
"
blue island malaysian cuisine,21201,Downtown,11,CENTRAL,"400 lexington st
Baltimore, MD
"
BLUE JEAN CAFE,21224,Broening Manor,1,SOUTHEASTERN,"6422 HOLABIRD AVE
Baltimore, MD
"
BLUE MOON  DINING  HOUSE  & EXPRESSO  BAR,21231,Fells Point,1,SOUTHEASTERN,"1621 ALICEANNA ST
Baltimore, MD
"
BLUE PARROT,21206,Glenham-Belford,2,NORTHEASTERN,"5860 BELAIR RD
Baltimore, MD
"
BLUE POINT CRAB HOUSE (seasonal),21224,Patterson Place,13,SOUTHEASTERN,"237 MONTFORD AVE
Baltimore, MD
"
BLUE SEA GRILL,21202,Downtown,11,CENTRAL,"614 WATER ST
Baltimore, MD
"
BLUE SKY RESTAURANT,21201,Downtown,11,CENTRAL,"237 PARK AVE
Baltimore, MD
"
BLUEHOUSE,21231,Fells Point,1,SOUTHEASTERN,"1407 FLEET ST
Baltimore, MD
"
BO BROOKS,21224,Canton,1,SOUTHEASTERN,"2701 BOSTON ST
Baltimore, MD
"
BOB CUMMINGS PLACE,21224,Baltimore-Linwood,1,SOUTHEASTERN,"148 EAST AVE
Baltimore, MD
"
BOB DELI,21224,Hopkins Bayview,2,SOUTHEASTERN,"333 CASSELL DR
Baltimore, MD
"
BOB'S BAR,21230,Washington Village,9,SOUTHERN,"1173 WASHINGTON BLVD
Baltimore, MD
"
BOB'S OLDIE'S CAF,21224,Brewers Hill,1,SOUTHEASTERN,"4017 19 EASTERN AVE
Baltimore, MD
"
BOCCACCIO,21202,Little Italy,1,SOUTHEASTERN,"925 EASTERN AVE
Baltimore, MD
"
BOP BRICK OVEN PIZZA,21231,Fells Point,1,SOUTHEASTERN,"800 BROADWAY
Baltimore, MD
"
BOUILLABAISSE CAF,21201,Downtown,11,CENTRAL,"316 PARK AVE
Baltimore, MD
"
BOULDER GARDEN CAFE,21210,Loyola/Notre Dame,6,NORTHERN,"4501 CHARLES ST
Baltimore, MD
"
BRASS MONKEY SALOON,21231,Fells Point,1,SOUTHEASTERN,"1601 EASTERN AVE
Baltimore, MD
"
BRASSERIE TATIN,21210,Tuscany-Canterbury,14,NORTHERN,"105 39TH ST
Baltimore, MD
"
BREEZE INC.,21211,Hampden,14,NORTHERN,"850 36TH ST
Baltimore, MD
"
"BRENDAL, INC.",21230,Riverside,10,SOUTHERN,"201 FORT AVE
Baltimore, MD
"
BREWER'S HILL PUB & GRILL,21224,Brewers Hill,1,SOUTHEASTERN,"3734 FLEET ST
Baltimore, MD
"
BREWSTER'S TAVERN,21231,Upper Fells Point,1,SOUTHEASTERN,"2201 GOUGH ST
Baltimore, MD
"
BROADWAY DINER,21224,Pulaski Industrial Area,1,SOUTHEASTERN,"6501 EASTERN AVE
Baltimore, MD
"
BROOKEY'S,21206,Belair-Edison,13,NORTHEASTERN,"4201 BELAIR RD
Baltimore, MD
"
BROOKLYN BOOSTER CLUB,21225,Brooklyn,10,SOUTHERN,"646 PATAPSCO AVE
Baltimore, MD
"
"BROOKLYN INN, LLC",21225,Brooklyn,10,SOUTHERN,"705 PATAPSCO
Baltimore, MD
"
BROOKLYN PLEASURE CLUB,21225,Brooklyn,10,SOUTHERN,"430 PATAPSCO AVE
Baltimore, MD
"
"BROTHERS PLACE, INC.",21223,Carrollton Ridge,9,SOUTHERN,"1846 PRATT ST
Baltimore, MD
"
"BRUCE MCKELDIN CONSULTING, LLC",21231,Fells Point,1,SOUTHEASTERN,"702 BROADWAY
Baltimore, MD
"
BUD PAOLINO'S RESTAURANT,21224,Baltimore Highlands,2,SOUTHEASTERN,"3919 LOMBARD ST
Baltimore, MD
"
BUFFALO WINGGS AND BEER,21234,North Harford Road,3,NORTHEASTERN,"7653 HARFORD RD
Baltimore, MD
"
BULL ROBINSON  LIQUORS (AKA 2736 GREENMOUNT AV,21218,Harwood,12,NORTHERN,"454 WHITERIDGE AVE
Baltimore, MD
"
BULLSEYE BAR & GRILLE,21234,North Harford Road,3,NORTHEASTERN,"7653 HARFORD RD
Baltimore, MD
"
BURGER KING,21230,Carroll Park,9,SOUTHERN,"1735 WASHINGTON BLVD
Baltimore, MD
"
BURGER KING,21231,Fells Point,1,SOUTHEASTERN,"2033 EASTERN AVE
Baltimore, MD
"
BURGER KING,21224,Kresson,2,EASTERN,"4100 PULASKI HWY
Baltimore, MD
"
BURGER KING,21202,Downtown,11,CENTRAL,"8 FAYETTE ST
Baltimore, MD
"
BURGER KING # 10293,21217,Druid Heights,11,CENTRAL,"1201 NORTH AVE
Baltimore, MD
"
BURGER KING # 13360,21211,Remington,7,NORTHERN,"555 29TH ST
Baltimore, MD
"
BURGER KING #10294,21202,Pleasant View Gardens,12,SOUTHEASTERN,"1241 ORLEANS ST
Baltimore, MD
"
BURGER KING #10295,21215,Central Park Heights,6,NORTHWESTERN,"4400 REISTERSTOWN RD
Baltimore, MD
"
BURGER KING #1950,21230,Cherry Hill,10,SOUTHERN,"1437 PATAPSCO AVE
Baltimore, MD
"
BURGER KING #2610,21215,Mondawmin,7,WESTERN,"2401 LIBERTY HEIGHTS AVE
Baltimore, MD
"
"BURKE'S CAFE, INCORPORATED",21202,Downtown,11,CENTRAL,"36 LIGHT ST
Baltimore, MD
"
BURKE'S CAF/ COMEDY FACTORY,21202,Downtown,11,CENTRAL,"36 LIGHT ST
Baltimore, MD
"
BUSTER'S PUB,21224,Baltimore-Linwood,1,SOUTHEASTERN,"3208 LOMBARD ST
Baltimore, MD
"
"BUTTS & BETTY'S TAVERN, INC.",21231,Upper Fells Point,1,SOUTHEASTERN,"2200 GOUGH ST
Baltimore, MD
"
B-WATCH,21231,Fells Point,1,SOUTHEASTERN,"2000 EASTERN AVE
Baltimore, MD
"
BYZANTIO CAF,21224,Greektown,2,SOUTHEASTERN,"4618 EASTERN AVE
Baltimore, MD
"
CAF AZAFRAN,21218,Johns Hopkins Homewood,14,NORTHERN,"3700 SAN MARTIN DR
Baltimore, MD
"
CAF EXPRESS,21201,Downtown,11,CENTRAL,"36 CHARLES ST
Baltimore, MD
"
CAF GIA,21202,Little Italy,1,SOUTHEASTERN,"410 HIGH ST
Baltimore, MD
"
CAF GOURMET,21201,Downtown,11,CENTRAL,"1 CHARLES ST
Baltimore, MD
"
CAFE' INTERNATIONALE,21202,Inner Harbor,11,CENTRAL,"401 PRATT ST
Baltimore, MD
"
CAF LATTE 'DA,21231,Fells Point,1,SOUTHEASTERN,"1704 ALICEANNA ST
Baltimore, MD
"
CAFE MANET,21230,Federal Hill,10,SOUTHERN,"1020 CHARLES ST
Baltimore, MD
"
"CAF ON THE SQUARE, LLC",21201,Downtown,11,CENTRAL,"11 PACA ST
Baltimore, MD
"
CAF SUSSIE'S,21202,Greenmount West,12,EASTERN,"203 NORTH AVE
Baltimore, MD
"
CAFE ZEN,21212,Rosebank,4,NORTHERN,"438 BELVEDERE AVE
Baltimore, MD
"
CALIFORNIA PIZZA KITCHEN,21202,Inner Harbor,11,CENTRAL,"201 PRATT ST
Baltimore, MD
"
CAMDEN PUB,21201,University Of Maryland,11,CENTRAL,"647 PRATT ST
Baltimore, MD
"
CAMERON'S SEAFOOD,21215,Central Park Heights,6,NORTHWESTERN,"2707 COLD SPRING LN
Baltimore, MD
"
CANTINA LAS AMERICAS/LA RUMBA,21202,Washington Hill,1,SOUTHEASTERN,"1650 54 E PRATT ST
Baltimore, MD
"
CANTON COVE,21224,Canton,1,SOUTHEASTERN,"901 CLINTON ST
Baltimore, MD
"
CANTON STATION,21224,Canton Industrial Area,1,SOUTHEASTERN,"1028 CONKLING ST
Baltimore, MD
"
CANTON'S PEARLS,21224,Canton,1,SOUTHEASTERN,"3301 BOSTON ST
Baltimore, MD
"
CANTON'S PORTSIDE TAVERN,21224,Canton,1,SOUTHEASTERN,"2821 O DONNELL ST
Baltimore, MD
"
CAPTAIN LARRY'S,21230,Riverside,10,SOUTHERN,"601 FORT AVE
Baltimore, MD
"
caribbean paradise,21201,Charles North,12,CENTRAL,"1818 charles ST
Baltimore, MD
"
CARIBOU COFFEE,21201,Downtown,11,CENTRAL,"1 CHARLES ST
Baltimore, MD
"
CARL REFEERS BAR & GRILL,21231,Fells Point,1,SOUTHEASTERN,"707 BROADWAY
Baltimore, MD
"
CARLOS O'CHARLIES,21224,Highlandtown,1,SOUTHEASTERN,"3508 EASTERN AVE
Baltimore, MD
"
CARL'S LITTLE HOUSE,21230,Washington Village,10,SOUTHERN,"1171 HAMBURG ST
Baltimore, MD
"
CARLYLE CLUB,21210,Roland Park,14,NORTHERN,"500 UNIVERSITY PKWY
Baltimore, MD
"
CAROLINAS TEX- MEX RESTAURANT,21231,Fells Point,1,SOUTHEASTERN,"1704 GOUGH ST
Baltimore, MD
"
CAROLINA'S TEX-MEX RESTURANT,21231,Fells Point,1,SOUTHEASTERN,"505 BROADWAY
Baltimore, MD
"
CARROLL STATION,21223,Carroll Park,9,SOUTHERN,"1415 WASHINGTON BLVD
Baltimore, MD
"
CARROLL STATION,21230,Carroll Park,9,SOUTHERN,"1415 19 WASHINGTON BLVD
Baltimore, MD
"
CASSANOVIA,21217,Penn North,7,WESTERN,"2700 PENNSYLVANIA AVE
Baltimore, MD
"
CASTAWAY'S BAR &  GRILL,21231,Canton,1,SOUTHEASTERN,"2206 BOSTON ST
Baltimore, MD
"
CATALINA RESTAURANT,21230,Inner Harbor,10,SOUTHERN,"500 HARBOR VIEW DR
Baltimore, MD
"
CATCH 22 SALOON,21224,Joseph Lee,2,SOUTHEASTERN,"6000 EASTERN AVE
Baltimore, MD
"
CATON HOUSE RESTAURANT,21227,Morrell Park,8,SOUTHWESTERN,"1506 CATON AVE
Baltimore, MD
"
CATTLE & FIN GRILL,21234,Woodring,3,NORTHEASTERN,"6826 HARFORD RD
Baltimore, MD
"
CAZBAR,21201,Downtown,11,CENTRAL,"316 CHARLES ST
Baltimore, MD
"
CC LOUNGE,21215,Lucille Park,6,NORTHWESTERN,"4923 REISTERSTOWN RD
Baltimore, MD
"
CEASAR'S DEN,21202,Little Italy,1,SOUTHEASTERN,"223 HIGH ST
Baltimore, MD
"
CEDONIA INN,21206,Frankford,2,NORTHEASTERN,"5900 MORAVIA RD
Baltimore, MD
"
"CENTER CLUB, INCORPORATED",21201,Inner Harbor,11,CENTRAL,"100 LIGHT ST
Baltimore, MD
"
CENTER STAGE,21202,Mount Vernon,11,CENTRAL,"700 CALVERT ST
Baltimore, MD
"
CENTRAL STATION,21201,Mid-Town Belvedere,11,CENTRAL,"1001 CHARLES ST
Baltimore, MD
"
CERIELLO FINE FOODS,21212,Chinquapin Park-Belvedere,4,NORTHERN,"529 BELVEDERE AVE
Baltimore, MD
"
CHAMPAGNE TONY'S,21202,Mid-Town Belvedere,12,CENTRAL,"1 CHASE ST
Baltimore, MD
"
"CHARLES & MADISON, LLC",21201,Mount Vernon,11,CENTRAL,"801 CHARLES ST
Baltimore, MD
"
CHARLES RESTAURANT  &  CARRYOUT,21218,Charles Village,12,NORTHERN,"38 25TH ST
Baltimore, MD
"
CHARLES ST DELI,21201,Downtown,11,CENTRAL,"2 charles st
Baltimore, MD
"
CHARLES VILLAGE PUB,21218,Charles Village,14,NORTHERN,"3107 ST PAUL ST
Baltimore, MD
"
CHARLESTON,21202,Inner Harbor,1,SOUTHEASTERN,"1000 LANCASTER ST
Baltimore, MD
"
CHARLIE & DEE RESTAURANT,21230,Washington Village,9,SOUTHERN,"1539 BUSH ST
Baltimore, MD
"
CHARLOTTE'S,21230,Riverside,10,SOUTHERN,"1542 LIGHT ST
Baltimore, MD
"
CHARM CITY INN,21224,Greektown,2,SOUTHEASTERN,"500 LEHIGH ST
Baltimore, MD
"
CHAZZ &  REN'E,21224,Canton,1,SOUTHEASTERN,"800 KENWOOD AVE
Baltimore, MD
"
CHEERLEADERS,21231,Fells Point,1,SOUTHEASTERN,"702 BROADWAY
Baltimore, MD
"
CHEERLEADERS SPORTS BAR,21231,Fells Point,1,SOUTHEASTERN,"702 BROADWAY ST
Baltimore, MD
"
CHEF PAOLINO,21201,Inner Harbor,11,CENTRAL,"100 CHARLES ST
Baltimore, MD
"
CHESAPEAKE BAY RESTAURANT,21218,Johns Hopkins Homewood,14,NORTHERN,"10 ART MUSEUM DR
Baltimore, MD
"
CHESAPEAKE WINE COMPANY,21224,Canton,1,SOUTHEASTERN,"2400 BOSTON ST
Baltimore, MD
"
CHIAPPARELLI'S RESTAURANT,21202,Little Italy,1,SOUTHEASTERN,"237 HIGH ST
Baltimore, MD
"
CHIC & TROUT (1007-09),21202,Johnston Square,12,EASTERN,"1007 GREENMOUNT AVE
Baltimore, MD
"
