	score	rating	genre	box office	running time
The School of Rock	86.4	PG-13	comedy	81.239	108
The Texas Chainsaw Massacre	42.2	PG-13	horror	80.168	98
Timeline	42.9	R	action	19.481	116
Tupac: Resurrection	69.5	R	documentary	7.719	90
Under the Tuscan Sun	63.1	PG-13	comedy	43.502	113
Underworld	46.2	R	action	51.484	121
Uptown Girls	38.5	PG-13	comedy	37.182	92
View from the Top	43.7	PG-13	comedy	15.597	87
What a Girl Wants	53.3	PG	comedy	36.017	105
Willard	60.3	PG-13	horror	6.852	100
Wrong Turn	32.6	R	horror	15.419	84
X2: X-Men United	72.5	PG-13	action	214.950	133
