address,direction,street,crossStreet,intersection,Location 1
W FRANKLIN ST & N FRANKLINTOWN RD,E/B,Franklin ,Franklintown Road,"Franklin 
  & Franklintown Road","(39.2930857459, -76.6623624871)"
S HANOVER ST & E CROMWELL ST,S/B,Hanover ,Cromwell St, &,"(39.2620595495, -76.6145872791)"
REISTERSTOWN RD & MENLO DR,N/B,Reisterstown ,Menlo Drive,"Reisterstown 
 & Menlo Drive","(39.3519849983, -76.6963758159)"
RUSSELL ST & BAYARD ST,S/B,Russell ,Bayard St,"Russell 
 & Bayard St","(39.2734675536, -76.6287385068)"
LIBERTY HEIGHTS AVE & N DUKELAND ST,E/B,Liberty Hghts,Dukeland St,"Liberty Hghts
  & Dukeland St","(39.3226393684, -76.6666335903)"
S HANOVER & REEDBIRD AVE,N/B,Hanover ,Reedbird Ave,"Hanover 
 & Reedbird Ave","(39.2498797679, -76.6137494417)"
W FAYETTE ST & N LIBERTY ST,W/B,Fayette,Liberty Heights Ave,"Fayette
  & Liberty Heights Ave","(39.2905038859, -76.617661176)"
GWYNNS FLS & GARRISON BLVD,E/B,Gwynns Falls ,Garrison Blvd,"Gwynns Falls 
  & Garrison Blvd","(39.3135792902, -76.6762250182)"
LOCH RAVEN BLVD & WALKER AVE,N/B,Loch Raven,Walker Ave,"Loch Raven
  & Walker Ave","(39.3700602939, -76.5831798122)"
PULASKI HWY & MORAVIA PARK DR,W/B,Pulaski Hwy ,Moravia Park Drive,"Pulaski Hwy 
 & Moravia Park Drive","(39.3086437141, -76.5323658645)"
HILLEN ST & FORREST ST,W/B,Hillen ,Forrest St,"Hillen 
 & Forrest St","(39.2968601609, -76.6055317698)"
PULASKI HWY & NORTH POINT RD,E/B,Pulaski ,North Point Blvd,"Pulaski 
 & North Point Blvd","(39.3043275894, -76.5395800163)"
N MONROE ST & W LAFAYETTE AVE,S/B,Monroe,Lafayette,"Monroe
 & Lafayette","(39.2987426878, -76.647517496)"
W MOUNT ROYAL AVE & W NORTH AVE,N/B,Mt Royal,North,"Mt Royal
 & North","(39.3107672842, -76.6247302963)"
MOUNT ROYAL TER & W NORTH AVE,S/B,Mt Royal,North,"Mt Royal
 & North","(39.3108706445, -76.6251255783)"
