"Indicator","Data Source","PUBLISH STATES","Year","WHO region","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Children aged <5 years underweight (%)","NLIS_312083","Published","1996","Africa","Angola","Both sexes","
37.0
","37","","",""
"Children aged <5 years underweight (%)","NLIS_312083","Published","1996","Africa","Angola","Female","
35.7
","35.7","","",""
"Children aged <5 years underweight (%)","NLIS_312083","Published","1996","Africa","Angola","Male","
38.2
","38.2","","",""
"Children aged <5 years underweight (%)","NLIS_313086","Published","2007","Africa","Angola","Both sexes","
15.6
","15.6","","",""
"Children aged <5 years underweight (%)","NLIS_313086","Published","2007","Africa","Angola","Female","
14.6
","14.6","","",""
"Children aged <5 years underweight (%)","NLIS_313086","Published","2007","Africa","Angola","Male","
16.6
","16.6","","",""
"Children aged <5 years underweight (%)","NLIS_311469","Published","1994","Americas","Argentina","Both sexes","
1.7
","1.7","","",""
"Children aged <5 years underweight (%)","NLIS_312103","Published","1996","Americas","Argentina","Both sexes","
4.7
","4.7","","",""
"Children aged <5 years underweight (%)","NLIS_312769","Published","2005","Americas","Argentina","Female","
2.2
","2.2","","",""
"Children aged <5 years underweight (%)","NLIS_312769","Published","2005","Americas","Argentina","Both sexes","
2.3
","2.3","","",""
"Children aged <5 years underweight (%)","NLIS_312769","Published","2005","Americas","Argentina","Male","
2.4
","2.4","","",""
"Children aged <5 years underweight (%)","NLIS_311865","Published","1998","Europe","Armenia","Male","
2.8
","2.8","","",""
"Children aged <5 years underweight (%)","NLIS_311865","Published","1998","Europe","Armenia","Female","
2.6
","2.6","","",""
"Children aged <5 years underweight (%)","NLIS_311865","Published","1998","Europe","Armenia","Both sexes","
2.7
","2.7","","",""
"Children aged <5 years underweight (%)","NLIS_312344","Published","2001","Europe","Armenia","Male","
2.9
","2.9","","",""
"Children aged <5 years underweight (%)","NLIS_312344","Published","2001","Europe","Armenia","Both sexes","
2.6
","2.6","","",""
"Children aged <5 years underweight (%)","NLIS_312344","Published","2001","Europe","Armenia","Female","
2.1
","2.1","","",""
"Children aged <5 years underweight (%)","NLIS_312785","Published","2005","Europe","Armenia","Male","
3.4
","3.4","","",""
"Children aged <5 years underweight (%)","NLIS_312785","Published","2005","Europe","Armenia","Both sexes","
4.2
","4.2","","",""
"Children aged <5 years underweight (%)","NLIS_312785","Published","2005","Europe","Armenia","Female","
5.2
","5.2","","",""
"Children aged <5 years underweight (%)","NLIS_313117","Published","2010","Europe","Armenia","Female","
5.9
","5.9","","",""
"Children aged <5 years underweight (%)","NLIS_313117","Published","2010","Europe","Armenia","Male","
4.7
","4.7","","",""
"Children aged <5 years underweight (%)","NLIS_313117","Published","2010","Europe","Armenia","Both sexes","
5.3
","5.3","","",""
"Children aged <5 years underweight (%)","NLIS_311832","Published","1996","Western Pacific","Australia","Both sexes","
0.0
","0","","",""
"Children aged <5 years underweight (%)","NLIS_311628","Published","1996","Europe","Azerbaijan","Both sexes","
8.8
","8.8","","",""
"Children aged <5 years underweight (%)","NLIS_312244","Published","2000","Europe","Azerbaijan","Male","
13.2
","13.2","","",""
"Children aged <5 years underweight (%)","NLIS_312244","Published","2000","Europe","Azerbaijan","Female","
15.0
","15","","",""
"Children aged <5 years underweight (%)","NLIS_312244","Published","2000","Europe","Azerbaijan","Both sexes","
14.0
","14","","",""
"Children aged <5 years underweight (%)","NLIS_312569","Published","2001","Europe","Azerbaijan","Both sexes","
5.9
","5.9","","",""
"Children aged <5 years underweight (%)","NLIS_312933","Published","2006","Europe","Azerbaijan","Both sexes","
8.4
","8.4","","",""
"Children aged <5 years underweight (%)","NLIS_312933","Published","2006","Europe","Azerbaijan","Female","
8.0
","8","","",""
"Children aged <5 years underweight (%)","NLIS_312933","Published","2006","Europe","Azerbaijan","Male","
8.7
","8.7","","",""
"Children aged <5 years underweight (%)","NLIS_311511","Published","1989","Eastern Mediterranean","Bahrain","Both sexes","
6.3
","6.3","","",""
"Children aged <5 years underweight (%)","NLIS_312296","Published","1995","Eastern Mediterranean","Bahrain","Both sexes","
7.6
","7.6","","",""
"Children aged <5 years underweight (%)","NLIS_310302","Published","1983","South-East Asia","Bangladesh","Both sexes","
63.8
","63.8","","",""
"Children aged <5 years underweight (%)","NLIS_310369","Published","1986","South-East Asia","Bangladesh","Both sexes","
66.8
","66.8","","",""
"Children aged <5 years underweight (%)","NLIS_310370","Published","1990","South-East Asia","Bangladesh","Both sexes","
61.5
","61.5","","",""
"Children aged <5 years underweight (%)","NLIS_312828","Published","1991","South-East Asia","Bangladesh","Both sexes","
64.3
","64.3","","",""
"Children aged <5 years underweight (%)","NLIS_312828","Published","1991","South-East Asia","Bangladesh","Male","
63.1
","63.1","","",""
"Children aged <5 years underweight (%)","NLIS_312828","Published","1991","South-East Asia","Bangladesh","Female","
65.5
","65.5","","",""
"Children aged <5 years underweight (%)","NLIS_312831","Published","1992","South-East Asia","Bangladesh","Male","
63.5
","63.5","","",""
"Children aged <5 years underweight (%)","NLIS_312831","Published","1992","South-East Asia","Bangladesh","Both sexes","
63.7
","63.7","","",""
"Children aged <5 years underweight (%)","NLIS_312831","Published","1992","South-East Asia","Bangladesh","Female","
63.9
","63.9","","",""
"Children aged <5 years underweight (%)","NLIS_311568","Published","1992","South-East Asia","Bangladesh","Both sexes","
64.1
","64.1","","",""
"Children aged <5 years underweight (%)","NLIS_312832","Published","1993","South-East Asia","Bangladesh","Male","
59.0
","59","","",""
"Children aged <5 years underweight (%)","NLIS_312832","Published","1993","South-East Asia","Bangladesh","Both sexes","
59.0
","59","","",""
"Children aged <5 years underweight (%)","NLIS_312832","Published","1993","South-East Asia","Bangladesh","Female","
58.9
","58.9","","",""
"Children aged <5 years underweight (%)","NLIS_312835","Published","1994","South-East Asia","Bangladesh","Female","
61.2
","61.2","","",""
"Children aged <5 years underweight (%)","NLIS_312835","Published","1994","South-East Asia","Bangladesh","Both sexes","
61.0
","61","","",""
"Children aged <5 years underweight (%)","NLIS_312835","Published","1994","South-East Asia","Bangladesh","Male","
60.8
","60.8","","",""
"Children aged <5 years underweight (%)","NLIS_312836","Published","1995","South-East Asia","Bangladesh","Male","
57.4
","57.4","","",""
"Children aged <5 years underweight (%)","NLIS_312836","Published","1995","South-East Asia","Bangladesh","Both sexes","
58.0
","58","","",""
"Children aged <5 years underweight (%)","NLIS_312836","Published","1995","South-East Asia","Bangladesh","Female","
58.6
","58.6","","",""
"Children aged <5 years underweight (%)","NLIS_312839","Published","1996","South-East Asia","Bangladesh","Both sexes","
56.7
","56.7","","",""
"Children aged <5 years underweight (%)","NLIS_312839","Published","1996","South-East Asia","Bangladesh","Female","
56.9
","56.9","","",""
"Children aged <5 years underweight (%)","NLIS_312839","Published","1996","South-East Asia","Bangladesh","Male","
56.4
","56.4","","",""
"Children aged <5 years underweight (%)","NLIS_311901","Published","1996","South-East Asia","Bangladesh","Both sexes","
52.9
","52.9","","",""
"Children aged <5 years underweight (%)","NLIS_311759","Published","1997","South-East Asia","Bangladesh","Male","
51.9
","51.9","","",""
"Children aged <5 years underweight (%)","NLIS_311759","Published","1997","South-East Asia","Bangladesh","Both sexes","
52.5
","52.5","","",""
"Children aged <5 years underweight (%)","NLIS_311759","Published","1997","South-East Asia","Bangladesh","Female","
53.0
","53","","",""
"Children aged <5 years underweight (%)","NLIS_311935","Published","1998","South-East Asia","Bangladesh","Male","
53.7
","53.7","","",""
"Children aged <5 years underweight (%)","NLIS_311935","Published","1998","South-East Asia","Bangladesh","Both sexes","
53.3
","53.3","","",""
"Children aged <5 years underweight (%)","NLIS_311935","Published","1998","South-East Asia","Bangladesh","Female","
52.8
","52.8","","",""
"Children aged <5 years underweight (%)","NLIS_312104","Published","1999","South-East Asia","Bangladesh","Both sexes","
52.0
","52","","",""
"Children aged <5 years underweight (%)","NLIS_312104","Published","1999","South-East Asia","Bangladesh","Female","
50.5
","50.5","","",""
"Children aged <5 years underweight (%)","NLIS_312104","Published","1999","South-East Asia","Bangladesh","Male","
53.3
","53.3","","",""
"Children aged <5 years underweight (%)","NLIS_312280","Published","2000","South-East Asia","Bangladesh","Male","
41.4
","41.4","","",""
"Children aged <5 years underweight (%)","NLIS_312844","Published","2000","South-East Asia","Bangladesh","Male","
49.0
","49","","",""
"Children aged <5 years underweight (%)","NLIS_312844","Published","2000","South-East Asia","Bangladesh","Both sexes","
48.2
","48.2","","",""
"Children aged <5 years underweight (%)","NLIS_312280","Published","2000","South-East Asia","Bangladesh","Both sexes","
42.3
","42.3","","",""
"Children aged <5 years underweight (%)","NLIS_312280","Published","2000","South-East Asia","Bangladesh","Female","
43.2
","43.2","","",""
"Children aged <5 years underweight (%)","NLIS_312844","Published","2000","South-East Asia","Bangladesh","Female","
47.3
","47.3","","",""
"Children aged <5 years underweight (%)","NLIS_312413","Published","2001","South-East Asia","Bangladesh","Both sexes","
45.4
","45.4","","",""
"Children aged <5 years underweight (%)","NLIS_312413","Published","2001","South-East Asia","Bangladesh","Male","
46.1
","46.1","","",""
"Children aged <5 years underweight (%)","NLIS_312413","Published","2001","South-East Asia","Bangladesh","Female","
44.5
","44.5","","",""
"Children aged <5 years underweight (%)","NLIS_312640","Published","2002","South-East Asia","Bangladesh","Both sexes","
43.1
","43.1","","",""
"Children aged <5 years underweight (%)","NLIS_312640","Published","2002","South-East Asia","Bangladesh","Female","
43.1
","43.1","","",""
"Children aged <5 years underweight (%)","NLIS_312640","Published","2002","South-East Asia","Bangladesh","Male","
43.1
","43.1","","",""
"Children aged <5 years underweight (%)","NLIS_312641","Published","2003","South-East Asia","Bangladesh","Both sexes","
40.9
","40.9","","",""
"Children aged <5 years underweight (%)","NLIS_312641","Published","2003","South-East Asia","Bangladesh","Male","
40.6
","40.6","","",""
"Children aged <5 years underweight (%)","NLIS_312641","Published","2003","South-East Asia","Bangladesh","Female","
41.3
","41.3","","",""
"Children aged <5 years underweight (%)","NLIS_312705","Published","2004","South-East Asia","Bangladesh","Male","
42.8
","42.8","","",""
"Children aged <5 years underweight (%)","NLIS_312705","Published","2004","South-East Asia","Bangladesh","Both sexes","
42.7
","42.7","","",""
"Children aged <5 years underweight (%)","NLIS_312849","Published","2004","South-East Asia","Bangladesh","Female","
40.7
","40.7","","",""
"Children aged <5 years underweight (%)","NLIS_312849","Published","2004","South-East Asia","Bangladesh","Both sexes","
40.3
","40.3","","",""
"Children aged <5 years underweight (%)","NLIS_312849","Published","2004","South-East Asia","Bangladesh","Male","
39.9
","39.9","","",""
"Children aged <5 years underweight (%)","NLIS_312705","Published","2004","South-East Asia","Bangladesh","Female","
42.7
","42.7","","",""
"Children aged <5 years underweight (%)","NLIS_312784","Published","2005","South-East Asia","Bangladesh","Male","
38.9
","38.9","","",""
"Children aged <5 years underweight (%)","NLIS_312784","Published","2005","South-East Asia","Bangladesh","Female","
39.5
","39.5","","",""
"Children aged <5 years underweight (%)","NLIS_312784","Published","2005","South-East Asia","Bangladesh","Both sexes","
39.2
","39.2","","",""
"Children aged <5 years underweight (%)","NLIS_312878","Published","2006","South-East Asia","Bangladesh","Both sexes","
39.8
","39.8","","",""
"Children aged <5 years underweight (%)","NLIS_312878","Published","2006","South-East Asia","Bangladesh","Female","
40.4
","40.4","","",""
"Children aged <5 years underweight (%)","NLIS_312878","Published","2006","South-East Asia","Bangladesh","Male","
39.3
","39.3","","",""
"Children aged <5 years underweight (%)","NLIS_312928","Published","2007","South-East Asia","Bangladesh","Female","
42.4
","42.4","","",""
"Children aged <5 years underweight (%)","NLIS_312928","Published","2007","South-East Asia","Bangladesh","Male","
40.2
","40.2","","",""
"Children aged <5 years underweight (%)","NLIS_312928","Published","2007","South-East Asia","Bangladesh","Both sexes","
41.3
","41.3","","",""
"Children aged <5 years underweight (%)","NLIS_310187","Published","1981","Americas","Barbados","Female","
5.7
","5.7","","",""
"Children aged <5 years underweight (%)","NLIS_310187","Published","1981","Americas","Barbados","Both sexes","
5.3
","5.3","","",""
"Children aged <5 years underweight (%)","NLIS_310187","Published","1981","Americas","Barbados","Male","
5.0
","5","","",""
"Children aged <5 years underweight (%)","NLIS_312824","Published","2005","Europe","Belarus","Both sexes","
1.3
","1.3","","",""
"Children aged <5 years underweight (%)","NLIS_312824","Published","2005","Europe","Belarus","Male","
1.5
","1.5","","",""
"Children aged <5 years underweight (%)","NLIS_312824","Published","2005","Europe","Belarus","Female","
1.0
","1","","",""
"Children aged <5 years underweight (%)","NLIS_311341","Published","1992","Americas","Belize","Both sexes","
5.4
","5.4","","",""
"Children aged <5 years underweight (%)","NLIS_312881","Published","2006","Americas","Belize","Both sexes","
4.9
","4.9","","",""
"Children aged <5 years underweight (%)","NLIS_312881","Published","2006","Americas","Belize","Female","
5.7
","5.7","","",""
"Children aged <5 years underweight (%)","NLIS_312881","Published","2006","Americas","Belize","Male","
4.0
","4","","",""
"Children aged <5 years underweight (%)","NLIS_311714","Published","1996","Africa","Benin","Male","
29.9
","29.9","","",""
"Children aged <5 years underweight (%)","NLIS_311714","Published","1996","Africa","Benin","Female","
23.8
","23.8","","",""
"Children aged <5 years underweight (%)","NLIS_311714","Published","1996","Africa","Benin","Both sexes","
26.8
","26.8","","",""
"Children aged <5 years underweight (%)","NLIS_312357","Published","2001","Africa","Benin","Male","
23.5
","23.5","","",""
"Children aged <5 years underweight (%)","NLIS_312357","Published","2001","Africa","Benin","Both sexes","
21.5
","21.5","","",""
"Children aged <5 years underweight (%)","NLIS_312357","Published","2001","Africa","Benin","Female","
19.6
","19.6","","",""
"Children aged <5 years underweight (%)","NLIS_312886","Published","2006","Africa","Benin","Male","
22.7
","22.7","","",""
"Children aged <5 years underweight (%)","NLIS_312886","Published","2006","Africa","Benin","Both sexes","
20.2
","20.2","","",""
"Children aged <5 years underweight (%)","NLIS_312886","Published","2006","Africa","Benin","Female","
17.6
","17.6","","",""
"Children aged <5 years underweight (%)","NLIS_310374","Published","1988","South-East Asia","Bhutan","Both sexes","
34.0
","34","","",""
"Children aged <5 years underweight (%)","NLIS_312015","Published","1999","South-East Asia","Bhutan","Male","
16.7
","16.7","","",""
"Children aged <5 years underweight (%)","NLIS_312015","Published","1999","South-East Asia","Bhutan","Both sexes","
14.1
","14.1","","",""
"Children aged <5 years underweight (%)","NLIS_312015","Published","1999","South-East Asia","Bhutan","Female","
11.5
","11.5","","",""
"Children aged <5 years underweight (%)","NLIS_312967","Published","2008","South-East Asia","Bhutan","Female","
10.3
","10.3","","",""
"Children aged <5 years underweight (%)","NLIS_312967","Published","2008","South-East Asia","Bhutan","Both sexes","
10.4
","10.4","","",""
"Children aged <5 years underweight (%)","NLIS_312967","Published","2008","South-East Asia","Bhutan","Male","
10.5
","10.5","","",""
"Children aged <5 years underweight (%)","NLIS_313077","Published","2010","South-East Asia","Bhutan","Male","
13.3
","13.3","","",""
"Children aged <5 years underweight (%)","NLIS_313077","Published","2010","South-East Asia","Bhutan","Both sexes","
12.7
","12.7","","",""
"Children aged <5 years underweight (%)","NLIS_313077","Published","2010","South-East Asia","Bhutan","Female","
12.0
","12","","",""
"Children aged <5 years underweight (%)","NLIS_310156","Published","1981","Americas","Bolivia (Plurinational State of)","Both sexes","
12.7
","12.7","","",""
"Children aged <5 years underweight (%)","NLIS_311263","Published","1988","Americas","Bolivia (Plurinational State of)","Both sexes","
9.8
","9.8","","",""
"Children aged <5 years underweight (%)","NLIS_310232","Published","1989","Americas","Bolivia (Plurinational State of)","Male","
10.4
","10.4","","",""
"Children aged <5 years underweight (%)","NLIS_311263","Published","1989","Americas","Bolivia (Plurinational State of)","Both sexes","
9.9
","9.9","","",""
"Children aged <5 years underweight (%)","NLIS_310232","Published","1989","Americas","Bolivia (Plurinational State of)","Female","
7.5
","7.5","","",""
"Children aged <5 years underweight (%)","NLIS_310232","Published","1989","Americas","Bolivia (Plurinational State of)","Both sexes","
8.9
","8.9","","",""
"Children aged <5 years underweight (%)","NLIS_311263","Published","1990","Americas","Bolivia (Plurinational State of)","Both sexes","
9.7
","9.7","","",""
"Children aged <5 years underweight (%)","NLIS_311263","Published","1991","Americas","Bolivia (Plurinational State of)","Both sexes","
10.2
","10.2","","",""
"Children aged <5 years underweight (%)","NLIS_311546","Published","1992","Americas","Bolivia (Plurinational State of)","Both sexes","
10.5
","10.5","","",""
"Children aged <5 years underweight (%)","NLIS_311359","Published","1994","Americas","Bolivia (Plurinational State of)","Both sexes","
12.6
","12.6","","",""
"Children aged <5 years underweight (%)","NLIS_311359","Published","1994","Americas","Bolivia (Plurinational State of)","Female","
9.9
","9.9","","",""
"Children aged <5 years underweight (%)","NLIS_311359","Published","1994","Americas","Bolivia (Plurinational State of)","Male","
15.1
","15.1","","",""
"Children aged <5 years underweight (%)","NLIS_311911","Published","1998","Americas","Bolivia (Plurinational State of)","Male","
6.0
","6","","",""
"Children aged <5 years underweight (%)","NLIS_311911","Published","1998","Americas","Bolivia (Plurinational State of)","Female","
5.8
","5.8","","",""
"Children aged <5 years underweight (%)","NLIS_311911","Published","1998","Americas","Bolivia (Plurinational State of)","Both sexes","
5.9
","5.9","","",""
"Children aged <5 years underweight (%)","NLIS_312666","Published","2004","Americas","Bolivia (Plurinational State of)","Both sexes","
5.9
","5.9","","",""
"Children aged <5 years underweight (%)","NLIS_312666","Published","2004","Americas","Bolivia (Plurinational State of)","Female","
5.7
","5.7","","",""
"Children aged <5 years underweight (%)","NLIS_312666","Published","2004","Americas","Bolivia (Plurinational State of)","Male","
6.1
","6.1","","",""
"Children aged <5 years underweight (%)","NLIS_312948","Published","2008","Americas","Bolivia (Plurinational State of)","Both sexes","
4.5
","4.5","","",""
"Children aged <5 years underweight (%)","NLIS_312948","Published","2008","Americas","Bolivia (Plurinational State of)","Female","
4.0
","4","","",""
"Children aged <5 years underweight (%)","NLIS_312948","Published","2008","Americas","Bolivia (Plurinational State of)","Male","
4.9
","4.9","","",""
"Children aged <5 years underweight (%)","NLIS_312362","Published","2000","Europe","Bosnia and Herzegovina","Female","
3.3
","3.3","","",""
"Children aged <5 years underweight (%)","NLIS_312362","Published","2000","Europe","Bosnia and Herzegovina","Male","
5.1
","5.1","","",""
"Children aged <5 years underweight (%)","NLIS_312362","Published","2000","Europe","Bosnia and Herzegovina","Both sexes","
4.2
","4.2","","",""
"Children aged <5 years underweight (%)","NLIS_312826","Published","2006","Europe","Bosnia and Herzegovina","Male","
2.2
","2.2","","",""
"Children aged <5 years underweight (%)","NLIS_312826","Published","2006","Europe","Bosnia and Herzegovina","Both sexes","
1.6
","1.6","","",""
"Children aged <5 years underweight (%)","NLIS_312826","Published","2006","Europe","Bosnia and Herzegovina","Female","
1.0
","1","","",""
"Children aged <5 years underweight (%)","NLIS_312018","Published","1996","Africa","Botswana","Both sexes","
15.1
","15.1","","",""
"Children aged <5 years underweight (%)","NLIS_312353","Published","2000","Africa","Botswana","Both sexes","
10.7
","10.7","","",""
"Children aged <5 years underweight (%)","NLIS_312353","Published","2000","Africa","Botswana","Male","
10.3
","10.3","","",""
"Children aged <5 years underweight (%)","NLIS_312353","Published","2000","Africa","Botswana","Female","
11.0
","11","","",""
"Children aged <5 years underweight (%)","NLIS_313092","Published","2008","Africa","Botswana","Female","
10.2
","10.2","","",""
"Children aged <5 years underweight (%)","NLIS_313092","Published","2008","Africa","Botswana","Both sexes","
11.2
","11.2","","",""
"Children aged <5 years underweight (%)","NLIS_313092","Published","2008","Africa","Botswana","Male","
12.1
","12.1","","",""
"Children aged <5 years underweight (%)","NLIS_310234","Published","1989","Americas","Brazil","Female","
5.2
","5.2","","",""
"Children aged <5 years underweight (%)","NLIS_310234","Published","1989","Americas","Brazil","Both sexes","
5.3
","5.3","","",""
"Children aged <5 years underweight (%)","NLIS_310234","Published","1989","Americas","Brazil","Male","
5.3
","5.3","","",""
"Children aged <5 years underweight (%)","NLIS_311680","Published","1996","Americas","Brazil","Both sexes","
4.5
","4.5","","",""
"Children aged <5 years underweight (%)","NLIS_311680","Published","1996","Americas","Brazil","Male","
4.8
","4.8","","",""
"Children aged <5 years underweight (%)","NLIS_311680","Published","1996","Americas","Brazil","Female","
4.2
","4.2","","",""
"Children aged <5 years underweight (%)","NLIS_312779","Published","2003","Americas","Brazil","Male","
4.3
","4.3","","",""
"Children aged <5 years underweight (%)","NLIS_312779","Published","2003","Americas","Brazil","Both sexes","
3.7
","3.7","","",""
"Children aged <5 years underweight (%)","NLIS_312779","Published","2003","Americas","Brazil","Female","
3.1
","3.1","","",""
"Children aged <5 years underweight (%)","NLIS_312870","Published","2007","Americas","Brazil","Both sexes","
2.2
","2.2","","",""
"Children aged <5 years underweight (%)","NLIS_312870","Published","2007","Americas","Brazil","Female","
2.1
","2.1","","",""
"Children aged <5 years underweight (%)","NLIS_312870","Published","2007","Americas","Brazil","Male","
2.2
","2.2","","",""
"Children aged <5 years underweight (%)","NLIS_312768","Published","2004","Europe","Bulgaria","Male","
1.3
","1.3","","",""
"Children aged <5 years underweight (%)","NLIS_312768","Published","2004","Europe","Bulgaria","Female","
1.9
","1.9","","",""
"Children aged <5 years underweight (%)","NLIS_312768","Published","2004","Europe","Bulgaria","Both sexes","
1.6
","1.6","","",""
"Children aged <5 years underweight (%)","NLIS_310968","Published","1993","Africa","Burkina Faso","Both sexes","
29.6
","29.6","","",""
"Children aged <5 years underweight (%)","NLIS_310968","Published","1993","Africa","Burkina Faso","Female","
27.5
","27.5","","",""
"Children aged <5 years underweight (%)","NLIS_310968","Published","1993","Africa","Burkina Faso","Male","
31.7
","31.7","","",""
"Children aged <5 years underweight (%)","NLIS_312137","Published","1999","Africa","Burkina Faso","Both sexes","
33.7
","33.7","","",""
"Children aged <5 years underweight (%)","NLIS_312137","Published","1999","Africa","Burkina Faso","Male","
35.2
","35.2","","",""
"Children aged <5 years underweight (%)","NLIS_312137","Published","1999","Africa","Burkina Faso","Female","
32.2
","32.2","","",""
"Children aged <5 years underweight (%)","NLIS_312626","Published","2003","Africa","Burkina Faso","Male","
36.8
","36.8","","",""
"Children aged <5 years underweight (%)","NLIS_312626","Published","2003","Africa","Burkina Faso","Female","
33.5
","33.5","","",""
"Children aged <5 years underweight (%)","NLIS_312626","Published","2003","Africa","Burkina Faso","Both sexes","
35.2
","35.2","","",""
"Children aged <5 years underweight (%)","NLIS_312918","Published","2006","Africa","Burkina Faso","Both sexes","
37.6
","37.6","","",""
"Children aged <5 years underweight (%)","NLIS_312918","Published","2006","Africa","Burkina Faso","Male","
39.5
","39.5","","",""
"Children aged <5 years underweight (%)","NLIS_312918","Published","2006","Africa","Burkina Faso","Female","
35.8
","35.8","","",""
"Children aged <5 years underweight (%)","NLIS_313039","Published","2009","Africa","Burkina Faso","Both sexes","
26.0
","26","","",""
"Children aged <5 years underweight (%)","NLIS_313039","Published","2009","Africa","Burkina Faso","Male","
27.1
","27.1","","",""
"Children aged <5 years underweight (%)","NLIS_313039","Published","2009","Africa","Burkina Faso","Female","
24.7
","24.7","","",""
"Children aged <5 years underweight (%)","NLIS_310092","Published","1987","Africa","Burundi","Male","
32.6
","32.6","","",""
"Children aged <5 years underweight (%)","NLIS_310092","Published","1987","Africa","Burundi","Female","
27.8
","27.8","","",""
"Children aged <5 years underweight (%)","NLIS_310092","Published","1987","Africa","Burundi","Both sexes","
30.2
","30.2","","",""
"Children aged <5 years underweight (%)","NLIS_312360","Published","2000","Africa","Burundi","Male","
38.8
","38.8","","",""
"Children aged <5 years underweight (%)","NLIS_312360","Published","2000","Africa","Burundi","Female","
38.9
","38.9","","",""
"Children aged <5 years underweight (%)","NLIS_312360","Published","2000","Africa","Burundi","Both sexes","
38.9
","38.9","","",""
"Children aged <5 years underweight (%)","NLIS_313093","Published","2005","Africa","Burundi","Both sexes","
35.2
","35.2","","",""
"Children aged <5 years underweight (%)","NLIS_312086","Published","1996","Western Pacific","Cambodia","Both sexes","
42.6
","42.6","","",""
"Children aged <5 years underweight (%)","NLIS_312086","Published","1996","Western Pacific","Cambodia","Female","
38.2
","38.2","","",""
"Children aged <5 years underweight (%)","NLIS_312086","Published","1996","Western Pacific","Cambodia","Male","
47.0
","47","","",""
"Children aged <5 years underweight (%)","NLIS_312312","Published","2000","Western Pacific","Cambodia","Both sexes","
39.5
","39.5","","",""
