"Indicator","Data Source","Country","Sex","Year","WHO region","Display Value","Numeric","Low","High","Comments"
"Children aged <5 years underweight (%)","NLIS_312344","Armenia","Both sexes","2001","Europe","2.6","2.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312344","Armenia","Male","2001","Europe","2.9","2.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312344","Armenia","Female","2001","Europe","2.1","2.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312785","Armenia","Female","2005","Europe","5.2","5.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312785","Armenia","Both sexes","2005","Europe","4.2","4.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312785","Armenia","Male","2005","Europe","3.4","3.40000","","",""
"Children aged <5 years underweight (%)","NLIS_313117","Armenia","Both sexes","2010","Europe","5.3","5.30000","","",""
"Children aged <5 years underweight (%)","NLIS_313117","Armenia","Female","2010","Europe","5.9","5.90000","","",""
"Children aged <5 years underweight (%)","NLIS_313117","Armenia","Male","2010","Europe","4.7","4.70000","","",""
"Children aged <5 years underweight (%)","NLIS_311832","Australia","Both sexes","1996","Western Pacific","0.0","0.00000","","",""
"Children aged <5 years underweight (%)","NLIS_311628","Azerbaijan","Both sexes","1996","Europe","8.8","8.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312244","Azerbaijan","Female","2000","Europe","15.0","15.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312244","Azerbaijan","Male","2000","Europe","13.2","13.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312244","Azerbaijan","Both sexes","2000","Europe","14.0","14.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312569","Azerbaijan","Both sexes","2001","Europe","5.9","5.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312933","Azerbaijan","Female","2006","Europe","8.0","8.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312933","Azerbaijan","Male","2006","Europe","8.7","8.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312933","Azerbaijan","Both sexes","2006","Europe","8.4","8.40000","","",""
"Children aged <5 years underweight (%)","NLIS_311511","Bahrain","Both sexes","1989","Eastern Mediterranean","6.3","6.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312296","Bahrain","Both sexes","1995","Eastern Mediterranean","7.6","7.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312280","Bangladesh","Both sexes","2000","South-East Asia","42.3","42.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312280","Bangladesh","Female","2000","South-East Asia","43.2","43.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312280","Bangladesh","Male","2000","South-East Asia","41.4","41.40000","","",""
"Children aged <5 years underweight (%)","NLIS_310302","Bangladesh","Both sexes","1983","South-East Asia","63.8","63.80000","","",""
"Children aged <5 years underweight (%)","NLIS_310369","Bangladesh","Both sexes","1986","South-East Asia","66.8","66.80000","","",""
"Children aged <5 years underweight (%)","NLIS_310370","Bangladesh","Both sexes","1990","South-East Asia","61.5","61.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312828","Bangladesh","Female","1991","South-East Asia","65.5","65.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312828","Bangladesh","Both sexes","1991","South-East Asia","64.3","64.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312828","Bangladesh","Male","1991","South-East Asia","63.1","63.10000","","",""
"Children aged <5 years underweight (%)","NLIS_311568","Bangladesh","Both sexes","1992","South-East Asia","64.1","64.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312831","Bangladesh","Female","1992","South-East Asia","63.9","63.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312831","Bangladesh","Both sexes","1992","South-East Asia","63.7","63.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312831","Bangladesh","Male","1992","South-East Asia","63.5","63.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312832","Bangladesh","Female","1993","South-East Asia","58.9","58.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312832","Bangladesh","Both sexes","1993","South-East Asia","59.0","59.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312832","Bangladesh","Male","1993","South-East Asia","59.0","59.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312835","Bangladesh","Male","1994","South-East Asia","60.8","60.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312835","Bangladesh","Female","1994","South-East Asia","61.2","61.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312835","Bangladesh","Both sexes","1994","South-East Asia","61.0","61.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312836","Bangladesh","Both sexes","1995","South-East Asia","58.0","58.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312836","Bangladesh","Male","1995","South-East Asia","57.4","57.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312836","Bangladesh","Female","1995","South-East Asia","58.6","58.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312839","Bangladesh","Male","1996","South-East Asia","56.4","56.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312839","Bangladesh","Both sexes","1996","South-East Asia","56.7","56.70000","","",""
"Children aged <5 years underweight (%)","NLIS_311901","Bangladesh","Both sexes","1996","South-East Asia","52.9","52.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312839","Bangladesh","Female","1996","South-East Asia","56.9","56.90000","","",""
"Children aged <5 years underweight (%)","NLIS_311759","Bangladesh","Male","1997","South-East Asia","51.9","51.90000","","",""
"Children aged <5 years underweight (%)","NLIS_311759","Bangladesh","Both sexes","1997","South-East Asia","52.5","52.50000","","",""
"Children aged <5 years underweight (%)","NLIS_311759","Bangladesh","Female","1997","South-East Asia","53.0","53.00000","","",""
"Children aged <5 years underweight (%)","NLIS_311935","Bangladesh","Male","1998","South-East Asia","53.7","53.70000","","",""
"Children aged <5 years underweight (%)","NLIS_311935","Bangladesh","Female","1998","South-East Asia","52.8","52.80000","","",""
"Children aged <5 years underweight (%)","NLIS_311935","Bangladesh","Both sexes","1998","South-East Asia","53.3","53.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312104","Bangladesh","Male","1999","South-East Asia","53.3","53.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312104","Bangladesh","Female","1999","South-East Asia","50.5","50.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312104","Bangladesh","Both sexes","1999","South-East Asia","52.0","52.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312413","Bangladesh","Female","2001","South-East Asia","44.5","44.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312413","Bangladesh","Both sexes","2001","South-East Asia","45.4","45.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312413","Bangladesh","Male","2001","South-East Asia","46.1","46.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312640","Bangladesh","Male","2002","South-East Asia","43.1","43.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312640","Bangladesh","Female","2002","South-East Asia","43.1","43.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312640","Bangladesh","Both sexes","2002","South-East Asia","43.1","43.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312641","Bangladesh","Male","2003","South-East Asia","40.6","40.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312641","Bangladesh","Both sexes","2003","South-East Asia","40.9","40.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312641","Bangladesh","Female","2003","South-East Asia","41.3","41.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312705","Bangladesh","Male","2004","South-East Asia","42.8","42.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312849","Bangladesh","Female","2004","South-East Asia","40.7","40.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312849","Bangladesh","Male","2004","South-East Asia","39.9","39.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312705","Bangladesh","Female","2004","South-East Asia","42.7","42.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312849","Bangladesh","Both sexes","2004","South-East Asia","40.3","40.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312705","Bangladesh","Both sexes","2004","South-East Asia","42.7","42.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312784","Bangladesh","Both sexes","2005","South-East Asia","39.2","39.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312784","Bangladesh","Male","2005","South-East Asia","38.9","38.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312784","Bangladesh","Female","2005","South-East Asia","39.5","39.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312878","Bangladesh","Female","2006","South-East Asia","40.4","40.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312878","Bangladesh","Male","2006","South-East Asia","39.3","39.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312878","Bangladesh","Both sexes","2006","South-East Asia","39.8","39.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312928","Bangladesh","Both sexes","2007","South-East Asia","41.3","41.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312928","Bangladesh","Female","2007","South-East Asia","42.4","42.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312928","Bangladesh","Male","2007","South-East Asia","40.2","40.20000","","",""
"Children aged <5 years underweight (%)","NLIS_310187","Barbados","Both sexes","1981","Americas","5.3","5.30000","","",""
"Children aged <5 years underweight (%)","NLIS_310187","Barbados","Male","1981","Americas","5.0","5.00000","","",""
"Children aged <5 years underweight (%)","NLIS_310187","Barbados","Female","1981","Americas","5.7","5.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312824","Belarus","Male","2005","Europe","1.5","1.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312824","Belarus","Both sexes","2005","Europe","1.3","1.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312824","Belarus","Female","2005","Europe","1.0","1.00000","","",""
"Children aged <5 years underweight (%)","NLIS_311341","Belize","Both sexes","1992","Americas","5.4","5.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312881","Belize","Male","2006","Americas","4.0","4.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312881","Belize","Both sexes","2006","Americas","4.9","4.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312881","Belize","Female","2006","Americas","5.7","5.70000","","",""
"Children aged <5 years underweight (%)","NLIS_311714","Benin","Both sexes","1996","Africa","26.8","26.80000","","",""
"Children aged <5 years underweight (%)","NLIS_311714","Benin","Female","1996","Africa","23.8","23.80000","","",""
"Children aged <5 years underweight (%)","NLIS_311714","Benin","Male","1996","Africa","29.9","29.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312357","Benin","Male","2001","Africa","23.5","23.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312357","Benin","Female","2001","Africa","19.6","19.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312357","Benin","Both sexes","2001","Africa","21.5","21.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312886","Benin","Female","2006","Africa","17.6","17.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312886","Benin","Male","2006","Africa","22.7","22.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312886","Benin","Both sexes","2006","Africa","20.2","20.20000","","",""
"Children aged <5 years underweight (%)","NLIS_310374","Bhutan","Both sexes","1988","South-East Asia","34.0","34.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312015","Bhutan","Both sexes","1999","South-East Asia","14.1","14.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312015","Bhutan","Female","1999","South-East Asia","11.5","11.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312015","Bhutan","Male","1999","South-East Asia","16.7","16.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312967","Bhutan","Female","2008","South-East Asia","10.3","10.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312967","Bhutan","Male","2008","South-East Asia","10.5","10.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312967","Bhutan","Both sexes","2008","South-East Asia","10.4","10.40000","","",""
"Children aged <5 years underweight (%)","NLIS_313077","Bhutan","Both sexes","2010","South-East Asia","12.7","12.70000","","",""
"Children aged <5 years underweight (%)","NLIS_313077","Bhutan","Female","2010","South-East Asia","12.0","12.00000","","",""
"Children aged <5 years underweight (%)","NLIS_313077","Bhutan","Male","2010","South-East Asia","13.3","13.30000","","",""
"Children aged <5 years underweight (%)","NLIS_310156","Bolivia (Plurinational State of)","Both sexes","1981","Americas","12.7","12.70000","","",""
"Children aged <5 years underweight (%)","NLIS_311263","Bolivia (Plurinational State of)","Both sexes","1988","Americas","9.8","9.80000","","",""
"Children aged <5 years underweight (%)","NLIS_311263","Bolivia (Plurinational State of)","Both sexes","1989","Americas","9.9","9.90000","","",""
"Children aged <5 years underweight (%)","NLIS_310232","Bolivia (Plurinational State of)","Both sexes","1989","Americas","8.9","8.90000","","",""
"Children aged <5 years underweight (%)","NLIS_310232","Bolivia (Plurinational State of)","Male","1989","Americas","10.4","10.40000","","",""
"Children aged <5 years underweight (%)","NLIS_310232","Bolivia (Plurinational State of)","Female","1989","Americas","7.5","7.50000","","",""
"Children aged <5 years underweight (%)","NLIS_311263","Bolivia (Plurinational State of)","Both sexes","1990","Americas","9.7","9.70000","","",""
"Children aged <5 years underweight (%)","NLIS_311263","Bolivia (Plurinational State of)","Both sexes","1991","Americas","10.2","10.20000","","",""
"Children aged <5 years underweight (%)","NLIS_311546","Bolivia (Plurinational State of)","Both sexes","1992","Americas","10.5","10.50000","","",""
"Children aged <5 years underweight (%)","NLIS_311359","Bolivia (Plurinational State of)","Both sexes","1994","Americas","12.6","12.60000","","",""
"Children aged <5 years underweight (%)","NLIS_311359","Bolivia (Plurinational State of)","Male","1994","Americas","15.1","15.10000","","",""
"Children aged <5 years underweight (%)","NLIS_311359","Bolivia (Plurinational State of)","Female","1994","Americas","9.9","9.90000","","",""
"Children aged <5 years underweight (%)","NLIS_311911","Bolivia (Plurinational State of)","Female","1998","Americas","5.8","5.80000","","",""
"Children aged <5 years underweight (%)","NLIS_311911","Bolivia (Plurinational State of)","Male","1998","Americas","6.0","6.00000","","",""
"Children aged <5 years underweight (%)","NLIS_311911","Bolivia (Plurinational State of)","Both sexes","1998","Americas","5.9","5.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312666","Bolivia (Plurinational State of)","Male","2004","Americas","6.1","6.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312666","Bolivia (Plurinational State of)","Both sexes","2004","Americas","5.9","5.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312666","Bolivia (Plurinational State of)","Female","2004","Americas","5.7","5.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312948","Bolivia (Plurinational State of)","Both sexes","2008","Americas","4.5","4.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312948","Bolivia (Plurinational State of)","Male","2008","Americas","4.9","4.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312948","Bolivia (Plurinational State of)","Female","2008","Americas","4.0","4.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312362","Bosnia and Herzegovina","Female","2000","Europe","3.3","3.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312362","Bosnia and Herzegovina","Both sexes","2000","Europe","4.2","4.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312362","Bosnia and Herzegovina","Male","2000","Europe","5.1","5.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312826","Bosnia and Herzegovina","Male","2006","Europe","2.2","2.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312826","Bosnia and Herzegovina","Both sexes","2006","Europe","1.6","1.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312826","Bosnia and Herzegovina","Female","2006","Europe","1.0","1.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312018","Botswana","Both sexes","1996","Africa","15.1","15.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312353","Botswana","Female","2000","Africa","11.0","11.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312353","Botswana","Both sexes","2000","Africa","10.7","10.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312353","Botswana","Male","2000","Africa","10.3","10.30000","","",""
"Children aged <5 years underweight (%)","NLIS_313092","Botswana","Male","2008","Africa","12.1","12.10000","","",""
"Children aged <5 years underweight (%)","NLIS_313092","Botswana","Female","2008","Africa","10.2","10.20000","","",""
"Children aged <5 years underweight (%)","NLIS_313092","Botswana","Both sexes","2008","Africa","11.2","11.20000","","",""
"Children aged <5 years underweight (%)","NLIS_310234","Brazil","Female","1989","Americas","5.2","5.20000","","",""
"Children aged <5 years underweight (%)","NLIS_310234","Brazil","Male","1989","Americas","5.3","5.30000","","",""
"Children aged <5 years underweight (%)","NLIS_310234","Brazil","Both sexes","1989","Americas","5.3","5.30000","","",""
"Children aged <5 years underweight (%)","NLIS_311680","Brazil","Both sexes","1996","Americas","4.5","4.50000","","",""
"Children aged <5 years underweight (%)","NLIS_311680","Brazil","Female","1996","Americas","4.2","4.20000","","",""
"Children aged <5 years underweight (%)","NLIS_311680","Brazil","Male","1996","Americas","4.8","4.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312779","Brazil","Both sexes","2003","Americas","3.7","3.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312779","Brazil","Male","2003","Americas","4.3","4.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312779","Brazil","Female","2003","Americas","3.1","3.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312870","Brazil","Female","2007","Americas","2.1","2.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312870","Brazil","Both sexes","2007","Americas","2.2","2.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312870","Brazil","Male","2007","Americas","2.2","2.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312768","Bulgaria","Both sexes","2004","Europe","1.6","1.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312768","Bulgaria","Male","2004","Europe","1.3","1.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312768","Bulgaria","Female","2004","Europe","1.9","1.90000","","",""
"Children aged <5 years underweight (%)","NLIS_310968","Burkina Faso","Both sexes","1993","Africa","29.6","29.60000","","",""
"Children aged <5 years underweight (%)","NLIS_310968","Burkina Faso","Female","1993","Africa","27.5","27.50000","","",""
"Children aged <5 years underweight (%)","NLIS_310968","Burkina Faso","Male","1993","Africa","31.7","31.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312137","Burkina Faso","Both sexes","1999","Africa","33.7","33.70000","","",""
"Children aged <5 years underweight (%)","NLIS_312137","Burkina Faso","Male","1999","Africa","35.2","35.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312137","Burkina Faso","Female","1999","Africa","32.2","32.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312626","Burkina Faso","Female","2003","Africa","33.5","33.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312626","Burkina Faso","Male","2003","Africa","36.8","36.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312626","Burkina Faso","Both sexes","2003","Africa","35.2","35.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312918","Burkina Faso","Male","2006","Africa","39.5","39.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312918","Burkina Faso","Female","2006","Africa","35.8","35.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312918","Burkina Faso","Both sexes","2006","Africa","37.6","37.60000","","",""
"Children aged <5 years underweight (%)","NLIS_313039","Burkina Faso","Both sexes","2009","Africa","26.0","26.00000","","",""
"Children aged <5 years underweight (%)","NLIS_313039","Burkina Faso","Male","2009","Africa","27.1","27.10000","","",""
"Children aged <5 years underweight (%)","NLIS_313039","Burkina Faso","Female","2009","Africa","24.7","24.70000","","",""
"Children aged <5 years underweight (%)","NLIS_310092","Burundi","Both sexes","1987","Africa","30.2","30.20000","","",""
"Children aged <5 years underweight (%)","NLIS_310092","Burundi","Female","1987","Africa","27.8","27.80000","","",""
"Children aged <5 years underweight (%)","NLIS_310092","Burundi","Male","1987","Africa","32.6","32.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312360","Burundi","Both sexes","2000","Africa","38.9","38.90000","","",""
"Children aged <5 years underweight (%)","NLIS_312360","Burundi","Male","2000","Africa","38.8","38.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312360","Burundi","Female","2000","Africa","38.9","38.90000","","",""
"Children aged <5 years underweight (%)","NLIS_313093","Burundi","Both sexes","2005","Africa","35.2","35.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312086","Cambodia","Both sexes","1996","Western Pacific","42.6","42.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312086","Cambodia","Male","1996","Western Pacific","47.0","47.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312086","Cambodia","Female","1996","Western Pacific","38.2","38.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312312","Cambodia","Female","2000","Western Pacific","38.6","38.60000","","",""
"Children aged <5 years underweight (%)","NLIS_312312","Cambodia","Male","2000","Western Pacific","40.5","40.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312312","Cambodia","Both sexes","2000","Western Pacific","39.5","39.50000","","",""
"Children aged <5 years underweight (%)","NLIS_312801","Cambodia","Male","2006","Western Pacific","29.8","29.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312801","Cambodia","Both sexes","2006","Western Pacific","28.4","28.40000","","",""
"Children aged <5 years underweight (%)","NLIS_312801","Cambodia","Female","2006","Western Pacific","27.1","27.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312931","Cambodia","Both sexes","2008","Western Pacific","28.8","28.80000","","",""
"Children aged <5 years underweight (%)","NLIS_312931","Cambodia","Female","2008","Western Pacific","29.2","29.20000","","",""
"Children aged <5 years underweight (%)","NLIS_312931","Cambodia","Male","2008","Western Pacific","28.4","28.40000","","",""
"Children aged <5 years underweight (%)","NLIS_313097","Cambodia","Female","2011","Western Pacific","29.1","29.10000","","",""
"Children aged <5 years underweight (%)","NLIS_313097","Cambodia","Male","2011","Western Pacific","28.8","28.80000","","",""
"Children aged <5 years underweight (%)","NLIS_313097","Cambodia","Both sexes","2011","Western Pacific","29.0","29.00000","","",""
"Children aged <5 years underweight (%)","NLIS_310375","Cameroon","Female","1991","Africa","18.3","18.30000","","",""
"Children aged <5 years underweight (%)","NLIS_310375","Cameroon","Both sexes","1991","Africa","18.0","18.00000","","",""
"Children aged <5 years underweight (%)","NLIS_310375","Cameroon","Male","1991","Africa","17.6","17.60000","","",""
"Children aged <5 years underweight (%)","NLIS_311928","Cameroon","Female","1998","Africa","15.7","15.70000","","",""
"Children aged <5 years underweight (%)","NLIS_311928","Cameroon","Both sexes","1998","Africa","17.8","17.80000","","",""
"Children aged <5 years underweight (%)","NLIS_311928","Cameroon","Male","1998","Africa","20.1","20.10000","","",""
"Children aged <5 years underweight (%)","NLIS_312698","Cameroon","Male","2004","Africa","15.3","15.30000","","",""
"Children aged <5 years underweight (%)","NLIS_312698","Cameroon","Female","2004","Africa","15.0","15.00000","","",""
"Children aged <5 years underweight (%)","NLIS_312698","Cameroon","Both sexes","2004","Africa","15.1","15.10000","","",""
